Manufacturer;Model Name;Screen Size;RAM; Storage;Operating System;Color
HP;Probook 450;"15.6""";8GB;128GB;Windows;Желтый
Lenovo;ThinkPad T460;"14.0""";4GB;508GB;Windows;Белый
Asus;Q534UX-BHI7T19 (i7-7500U/16GB/2TB;"15.6""";16GB;512GB;Windows;Серебристый
HP;15-bs053od (i7-7500U/6GB/1TB/W10);"15.6""";6GB;1TB;Windows;Серый
Asus;Rog GL753VE-DS74;"17.3""";16GB;256GB;Windows;Желтый
Dell;Inspiron 7579;"15.6""";12GB;512GB;Windows;Серый
Toshiba;Portege Z30-C-1CV;"13.3""";4GB;128GB;Windows;Черный
Lenovo;IdeaPad 320-15ABR;"15.6""";6GB;256GB;Windows;Серебристый
Fujitsu;LifeBook A556;"15.6""";4GB;256GB;Windows;Белый
Toshiba;Tecra A40-C-1KF;"14.0""";4GB;500GB;Windows;Красный
Dell;Inspiron 3567;"15.6""";4GB;500GB;Windows;Желтый
HP;Probook 450;"15.6""";8GB;1TB;Windows;Голубой
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;128GB;Windows;Желтый
Dell;Inspiron 5567;"15.6""";8GB;1TB;Windows;Серый
Dell;Latitude 5480;"14.0""";8GB;128GB;Windows;Серый
HP;EliteBook Folio;"12.5""";8GB;512GB;Windows;Серый
HP;15-bs005nv (i3-6006U/4GB/1TB;"15.6""";4GB;128GB;Windows;Серебристый
Lenovo;V110-15IAP (N3350/4GB/128GB/No;"15.6""";4GB;128GB;No OS;Серый
Lenovo;ThinkPad T560;"15.6""";8GB;256GB;Windows;Белый
Dell;Inspiron 5378;"13.3""";8GB;256GB;Windows;Синий
Asus;ZenBook UX310UA-FB485T;"13.3""";8GB;256GB;Windows;Синий
HP;Spectre 13-V111dx;"13.3""";8GB;256GB;Windows;Черный
Acer;Aspire ES1-533;"15.6""";4GB;500GB;Windows;Серый
Asus;Rog GL553VE-DS74;"15.6""";16GB;256GB;Windows;Желтый
HP;EliteBook 840;"14.0""";8GB;512GB;Windows;Черный
Acer;Nitro 5;"15.6""";8GB;128GB;Windows;Черный
HP;ENVY -;"13.3""";8GB;256GB;Windows;Черный
Dell;Vostro 3568;"15.6""";4GB;128GB;Windows;Серый
HP;Probook 440;"14.0""";4GB;500GB;Windows;Красный
Toshiba;Portege Z30-C-16H;"13.3""";4GB;128GB;Windows;Белый
HP;EliteBook 840;"14.0""";4GB;256GB;Windows;Голубой
HP;ProBook 640;"14.0""";4GB;256GB;Windows;Красный
HP;EliteBook 1040;"14.0""";8GB;256GB;Windows;Белый
HP;ProBook 440;"14.0""";8GB;256GB;Windows;Серебристый
HP;Probook 440;"14.0""";4GB;500GB;Windows;Голубой
Dell;Inspiron 7567;"15.6""";8GB;1TB;Windows;Белый
HP;EliteBook 820;"12.5""";4GB;500GB;Windows;Желтый
HP;Elitebook 840;"14.0""";4GB;256GB;Windows;Желтый
HP;EliteBook 840;"14.0""";8GB;256GB;Windows;Голубой
HP;Probook 430;"13.3""";4GB;500GB;Windows;Черный
Toshiba;Portege A30-C-1CZ;"13.3""";8GB;256GB;Windows;Синий
HP;ProBook 450;"15.6""";4GB;256GB;Windows;Серый
Lenovo;ThinkPad P70;"17.3""";16GB;512GB;Windows;Серебристый
Toshiba;Tecra Z40-C-12Z;"14.0""";8GB;256GB;Windows;Желтый
HP;EliteBook 1040;"14.0""";8GB;256GB;Windows;Белый
Dell;Inspiron 5568;"15.6""";4GB;1TB;Windows;Белый
Toshiba;Portйgй Z30-C-16K;"13.3""";8GB;256GB;Windows;Голубой
HP;Spectre 13-V100nv;"13.3""";8GB;256GB;Windows;Черный
HP;ProBook 440;"14.0""";8GB;256GB;Windows;Серебристый
Dell;Latitude E5570;"15.6""";8GB;500GB;Windows;Серый
HP;Elitebook 820;"12.5""";4GB;256GB;Windows;Черный
HP;ProBook 650;"14.0""";4GB;500GB;Windows;Серый
HP;ProBook 640;"14.0""";4GB;500GB;Windows;Серебристый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Голубой
HP;Probook 470;"17.3""";8GB;256GB;Windows;Белый
HP;ProBook 440;"14.0""";4GB;256GB;Windows;Синий
Acer;Aspire 3;"15.6""";6GB;1TB;Windows;Серебристый
MSI;GL72M 7RDX;"17.3""";8GB;128GB;Windows;Желтый
HP;Probook 640;"14.0""";8GB;256GB;Windows;Черный
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Серый
HP;EliteBook 820;"12.5""";8GB;256GB;Windows;Белый
HP;ProBook 450;"15.6""";4GB;500GB;Windows;Серый
Toshiba;Tecra Z40-C-136;"14.0""";8GB;256GB;Windows;Черный
Dell;Latitude E5570;"15.6""";8GB;256GB;Windows;Черный
HP;ProBook 440;"14.0""";8GB;256GB;Windows;Красный
Lenovo;Yoga 500-15ISK;"15.6""";4GB;256GB;Windows;Черный
Vero;V142 (X5-Z8350/2GB/32GB/W10);"14.0""";2GB;32GB;Windows;Голубой
Toshiba;Tecra A50-C-218;"15.6""";16GB;256GB;Windows;Красный
Lenovo;Thinkpad L560;"15.6""";8GB;256GB;Windows;Голубой
HP;EliteBook 840;"14.0""";4GB;500GB;Windows;Синий
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Серый
HP;EliteBook 1040;"14.0""";8GB;256GB;Windows;Голубой
MSI;GT72S Dominator;"17.3""";16GB;256GB;Windows;Белый
Lenovo;IdeaPad Y900-17ISK;"17.3""";16GB;128GB;Windows;Голубой
Asus;Chromebook C202SA;"11.6""";4GB;16GB;Chrome OS;Синий
Lenovo;ThinkPad X1;"14.0""";16GB;256GB;Windows;Красный
HP;Noteb Pav;"15.6""";8GB;1TB;Windows;Желтый
Dell;Inspiron 5578;"15.6""";8GB;256GB;Windows;Серебристый
HP;ProBook 450;"15.6""";4GB;256GB;Windows;Черный
Dell;XPS 13;"13.3""";16GB;1TB;Windows;Белый
HP;ProBook 650;"15.6""";4GB;500GB;Windows;Красный
HP;250 G5;"15.6""";4GB;500GB;No OS;Красный
Acer;Aspire ES1-523;"15.6""";8GB;1TB;Windows;Черный
Dell;Inspiron 7378;"13.3""";12GB;256GB;Windows;Черный
MSI;GT62VR 6RD;"15.6""";16GB;256GB;Windows;Белый
HP;ProBook 450;"15.6""";8GB;256GB;Windows;Голубой
Asus;Rog G752VL-GC088D;"17.3""";16GB;1TB;No OS;Белый
Dell;Inspiron 3567;"15.6""";4GB;1TB;Windows;Голубой
Dell;Inspiron 5567;"15.6""";16GB;2TB;Windows;Серый
MSI;GS63VR 6RF;"15.6""";16GB;256GB;Windows;Серебристый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Красный
Asus;ROG G701VO;"17.3""";64GB;1TB;Windows;Желтый
Dell;Inspiron 5368;"13.3""";8GB;256GB;Windows;Серебристый
Dell;Alienware 15;"15.6""";16GB;256GB;Windows;Черный
Apple;"MacBook 12""";"12.0""";8GB;256GB;Mac OS;Белый
Dell;Latitude 3570;"15.6""";4GB;500GB;Windows;Черный
HP;ProBook 650;"15.6""";4GB;500GB;Windows;Желтый
HP;EliteBook 820;"12.5""";8GB;256GB;Windows;Белый
HP;ProBook 430;"13.3""";8GB;256GB;Windows;Серебристый
Lenovo;ThinkPad Yoga;"12.5""";8GB;256GB;Windows;Голубой
Lenovo;IdeaPad 300-17ISK;"17.3""";8GB;1TB;Windows;Синий
Lenovo;Ideapad 700-15ISK;"15.6""";4GB;1TB;Windows;Голубой
MSI;GT72VR Dominator;"17.3""";16GB;256GB;Windows;Серебристый
Lenovo;V110-15ISK (i5-6200U/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Голубой
HP;Probook 650;"15.6""";4GB;500GB;Windows;Серебристый
Lenovo;Yoga 900S-12ISK;"12.5""";8GB;512GB;Windows;Серебристый
Lenovo;IdeaPad Y900-17ISK;"17.3""";32GB;512GB;Windows;Синий
Lenovo;Yoga Book;"10.1""";4GB;64GB;Windows;Синий
HP;Spectre x360;"13.3""";16GB;512GB;Windows;Синий
Dell;Vostro 3568;"15.6""";8GB;256GB;Windows;Голубой
HP;EliteBook 840;"14.0""";4GB;500GB;Windows;Белый
HP;ZBook 15u;"15.6""";8GB;256GB;Windows;Желтый
Lenovo;ThinkPad T460;"14.0""";8GB;1GB;Windows;Желтый
HP;Chromebook 13;"13.3""";4GB;32GB;Chrome OS;Синий
Acer;Aspire ES1-523;"15.6""";4GB;500GB;Windows;Серый
Dell;Inspiron 3552;"15.6""";4GB;500GB;Linux;Желтый
HP;250 G6;"15.6""";4GB;1TB;No OS;Белый
Asus;Rog GL702VM-GC354T;"17.3""";8GB;256GB;Windows;Белый
Dell;Inspiron 5370;"13.3""";4GB;256GB;Windows;Голубой
HP;Elitebook 820;"12.5""";4GB;128GB;Windows;Белый
Acer;Aspire F5-573G;"15.6""";8GB;256GB;Windows;Серебристый
Dell;Inspiron 5567;"15.6""";8GB;1TB;Windows;Белый
MSI;GS70 Stealth;"17.3""";8GB;256GB;Windows;Серый
HP;250 G5;"15.6""";4GB;1TB;Windows;Голубой
Asus;G752VY-GC162T (i7-6700HQ/16GB/1TB;"17.3""";16GB;128GB;Windows;Синий
Dell;Latitude E5270;"12.5""";4GB;500GB;Windows;Черный
Dell;Latitude E5270;"12.5""";4GB;128GB;Windows;Белый
Acer;Chromebook 15;"15.6""";4GB;16GB;Chrome OS;Синий
HP;ZBook 17;"17.3""";8GB;1TB;Windows;Голубой
Lenovo;Legion Y520-15IKBN;"15.6""";16GB;512GB;Windows;Белый
Dell;Latitude E5270;"12.5""";8GB;256GB;Windows;Желтый
MSI;GE72 Apache;"17.3""";8GB;128GB;Windows;Желтый
Lenovo;Yoga 500-15ISK;"15.6""";4GB;256GB;Windows;Голубой
HP;15-bw011nv (A6-9220/4GB/1TB/FHD/W10);"15.6""";4GB;1TB;Windows;Голубой
Asus;Rog GL552VW-CN470T;"15.6""";16GB;128GB;Windows;Серый
HP;EliteBook 1030;"13.3""";8GB;256GB;Windows;Серебристый
Dell;Vostro 3559;"15.6""";4GB;500GB;Windows;Синий
Lenovo;V110-15ISK (i3-6006U/4GB/128GB/W10);"15.6""";4GB;128GB;Windows;Желтый
HP;Spectre Pro;"13.3""";8GB;512GB;Windows;Синий
Lenovo;Yoga Book;"10.1""";4GB;64GB;Android;Черный
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Серебристый
Lenovo;IdeaPad Y900-17ISK;"17.3""";16GB;256GB;Windows;Синий
Razer;Blade Stealth;"12.5""";8GB;256GB;Windows;Черный
Toshiba;Portege X30-D-10K;"13.3""";16GB;512GB;Windows;Голубой
Asus;Rog GL752VW-T4308T;"17.3""";8GB;128GB;Windows;Серый
Vero;V131 (X5-Z8350/4GB/32GB/FHD/W10);"13.3""";4GB;32GB;Windows;Красный
HP;Spectre Pro;"13.3""";8GB;256GB;Windows;Белый
HP;EliteBook 1040;"14.0""";8GB;256GB;Windows;Серый
Dell;Latitude E5570;"15.6""";4GB;500GB;Linux;Желтый
Asus;VivoBook Max;"15.6""";4GB;1TB;Windows;Белый
Lenovo;ThinkPad Yoga;"14.0""";8GB;256GB;Windows;Красный
Lenovo;Yoga Book;"10.1""";4GB;64GB;Windows;Голубой
HP;EliteBook 820;"12.5""";8GB;256GB;Windows;Серый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;128GB;No OS;Серебристый
HP;Omen -;"17.3""";8GB;128GB;Windows;Серый
HP;15-bs078cl (i7-7500U/8GB/2TB/W10);"15.6""";8GB;2TB;Windows;Голубой
Lenovo;ThinkPad P40;"14.0""";8GB;512GB;Windows;Серебристый
Asus;L403NA-GA013TS (N3350/4GB/32GB/W10);"14.0""";4GB;32GB;Windows;Серый
HP;250 G6;"15.6""";8GB;256GB;Windows;Черный
Acer;Aspire E5-576G;"15.6""";4GB;1TB;Windows;Белый
Lenovo;IdeaPad 500-15ISK;"15.6""";16GB;1TB;Windows;Голубой
HP;ZBook 17;"17.3""";8GB;256GB;Windows;Голубой
Dell;Inspiron 5567;"15.6""";8GB;1TB;Windows;Черный
MSI;GT72S Dominator;"17.3""";16GB;256GB;Windows;Голубой
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Красный
Lenovo;ThinkPad X1;"14.0""";16GB;512GB;Windows;Серый
MSI;GP62M 7RDX;"15.6""";8GB;128GB;Windows;Голубой
HP;Spectre Pro;"13.3""";8GB;256GB;Windows;Желтый
HP;ZBook 15;"15.6""";8GB;256GB;Windows;Белый
HP;Spectre Pro;"13.3""";8GB;256GB;Windows;Серебристый
HP;ZBook Studio;"15.6""";8GB;256GB;Windows;Белый
HP;EliteBook 820;"12.5""";8GB;256GB;Windows;Желтый
Dell;Vostro 5568;"15.6""";8GB;256GB;Windows;Серебристый
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Красный
Lenovo;ThinkPad X1;"14.0""";8GB;256GB;Windows;Голубой
Lenovo;V110-15ISK (i3-6006U/4GB/1TB/No;"15.6""";4GB;1TB;No OS;Голубой
HP;15-BA015wm (E2-7110/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Красный
Lenovo;B51-80 (i5-6200U/8GB/1TB/Radeon;"15.6""";8GB;1TB;No OS;Белый
Dell;Inspiron 7567;"15.6""";8GB;1TB;Windows;Синий
Dell;XPS 15;"15.6""";8GB;256GB;Windows;Красный
HP;15-bw002nv (A6-9220/4GB/256GB/Radeon;"15.6""";4GB;256GB;Windows;Красный
MSI;GP72M 7REX;"17.3""";16GB;256GB;Windows;Черный
Lenovo;ThinkPad T460s;"14.0""";12GB;512GB;Windows;Желтый
Lenovo;B51-80 (i5-6200U/8GB/1008GB/Radeon;"15.6""";8GB;1TB;Windows;Серый
HP;Spectre Pro;"13.3""";8GB;512GB;Windows;Красный
Lenovo;ThinkPad T460;"14.0""";8GB;256GB;Windows;Красный
MSI;GS40 Phantom;"14.0""";16GB;256GB;Windows;Синий
HP;Pavilion 15-cb003nv;"15.6""";8GB;1TB;Windows;Желтый
Lenovo;IdeaPad 310-15ISK;"15.6""";8GB;1TB;Windows;Белый
HP;250 G4;"15.6""";4GB;500GB;No OS;Синий
Dell;Inspiron 7567;"15.6""";8GB;128GB;Windows;Голубой
Lenovo;ThinkPad T570;"15.6""";8GB;256GB;Windows;Серый
Lenovo;320-15ISK (i3-6006U/4GB/1TB/GeForce;"15.6""";4GB;1TB;Windows;Серый
HP;Stream 14-AX000nv;"14.0""";2GB;32GB;Windows;Желтый
MSI;PL60 7RD;"15.6""";8GB;1TB;Windows;Желтый
HP;250 G5;"15.6""";8GB;256GB;Windows;Серый
HP;ProBook 450;"15.6""";16GB;512GB;Windows;Голубой
Asus;X553SA-XX021T (N3050/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Белый
Lenovo;V110-15ISK (i5-6200U/4GB/500GB/No;"15.6""";4GB;500GB;No OS;Белый
Lenovo;IdeaPad 510-15IKB;"15.6""";8GB;1TB;No OS;Белый
Asus;UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10);"14.0""";4GB;256GB;Windows;Желтый
Lenovo;B51-80 (i7-6500U/4GB/1008GB/FHD/W7);"15.6""";4GB;1TB;Windows;Серебристый
Lenovo;IdeaPad Y700-15ISK;"15.6""";16GB;512GB;Windows;Красный
MSI;GS60 Ghost;"15.6""";16GB;128GB;Windows;Желтый
HP;ProBook 450;"15.6""";4GB;500GB;Windows;Белый
Lenovo;ThinkPad X1;"14.0""";8GB;256GB;Windows;Черный
Lenovo;IdeaPad 310-15IKB;"15.6""";6GB;256GB;Windows;Синий
Dell;Vostro 5568;"15.6""";8GB;256GB;Linux;Красный
Acer;Aspire 3;"15.6""";4GB;500GB;Windows;Белый
HP;Pavilion 15-BC000nv;"15.6""";6GB;1TB;Windows;Голубой
Asus;Rog GL552VW-DM201T;"15.6""";8GB;256GB;Windows;Красный
Dell;Inspiron 5578;"15.6""";16GB;512GB;Windows;Синий
Acer;Aspire E5-576G;"15.6""";4GB;256GB;Windows;Серебристый
Dell;XPS 13;"13.3""";8GB;256GB;Linux;Синий
Acer;Predator G9-793;"17.3""";16GB;256GB;Windows;Серебристый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;1TB;Windows;Голубой
Samsung;Chromebook Plus;"12.3""";4GB;32GB;Chrome OS;Желтый
HP;250 G6;"15.6""";4GB;500GB;Windows;Красный
Apple;"MacBook 12""";"12.0""";8GB;256GB;Mac OS;Голубой
Dell;Inspiron 7378;"13.3""";8GB;256GB;Windows;Серый
HP;Pavilion Power;"15.6""";12GB;128GB;Windows;Серый
Lenovo;V110-15ISK (i3-6006U/4GB/1TB/Radeon;"15.6""";4GB;1TB;No OS;Серебристый
Asus;Rog G752VY-GC229T;"17.3""";16GB;512GB;Windows;Синий
Acer;Aspire 3;"15.6""";4GB;1TB;Linux;Серебристый
MSI;GS73VR 7RF;"17.3""";16GB;256GB;Windows;Серебристый
Dell;Inspiron 5567;"15.6""";4GB;128GB;Windows;Желтый
Lenovo;IdeaPad 310-15ISK;"15.6""";8GB;500GB;No OS;Серый
Dell;Inspiron 5579;"15.6""";16GB;512GB;Windows;Черный
Dell;XPS 13;"13.3""";16GB;512GB;Windows;Синий
Asus;FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce;"15.6""";8GB;1TB;Windows;Желтый
Dell;Inspiron 5567;"15.6""";8GB;256GB;Windows;Красный
HP;15-bs025nv (i5-7200U/8GB/256GB/W10);"15.6""";8GB;256GB;Windows;Серый
Lenovo;IdeaPad 320-15AST;"15.6""";4GB;500GB;Windows;Голубой
Acer;Aspire E5-774G;"17.3""";8GB;1TB;Windows;Белый
Asus;Rog Strix;"15.6""";16GB;256GB;Windows;Белый
Apple;"MacBook 12""";"12.0""";8GB;512GB;Mac OS;Красный
Asus;FX502VM-AS73 (i7-7700HQ/16GB/1TB;"15.6""";16GB;128GB;Windows;Белый
MSI;GS73VR Stealth;"17.3""";16GB;256GB;Windows;Серый
Dell;Inspiron 7579;"15.6""";8GB;256GB;Windows;Синий
Asus;ROG Strix;"17.3""";16GB;256GB;Windows;Желтый
Acer;C740-C9QX (3205U/2GB/32GB/Chrome;"11.6""";2GB;32GB;Chrome OS;Черный
Acer;E5 774G;"17.3""";4GB;1TB;Windows;Черный
Lenovo;IdeaPad 320-17IKB;"17.3""";8GB;1TB;No OS;Белый
Lenovo;IdeaPad Y700-15ISK;"15.6""";8GB;128GB;Windows;Желтый
Acer;SP714-51 (i7-7Y75/8GB/256GB/FHD/W10);"14.0""";8GB;256GB;Windows;Белый
Lenovo;Thinkpad T560;"15.6""";8GB;256GB;Windows;Черный
MSI;GP62MVR 6RF;"15.6""";8GB;128GB;Windows;Серебристый
HP;15-bw009nv (A12-9720P/6GB/1TB/Radeon;"15.6""";6GB;1TB;Windows;Белый
Dell;Latitude E7270;"12.5""";8GB;256GB;Windows;Черный
Dell;Inspiron 5578;"15.0""";4GB;500GB;Windows;Серебристый
Asus;X540SA-RBPDN09 (N3710/4GB/1TB/W10);"15.6""";4GB;1TB;Windows;Синий
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Красный
Dell;Vostro 3568;"15.6""";4GB;1TB;Linux;Красный
Lenovo;IdeaPad Y700-15ISK;"15.6""";16GB;128GB;Windows;Красный
MSI;GL62M 7RDX;"15.6""";8GB;128GB;Windows;Серый
Lenovo;ThinkPad Yoga;"12.5""";16GB;512GB;Windows;Серебристый
Razer;Blade Pro;"14.0""";16GB;1TB;Windows;Черный
Dell;Inspiron 3567;"15.6""";8GB;1TB;Windows;Желтый
MSI;GE72VR Apache;"17.3""";16GB;256GB;Windows;Голубой
Apple;MacBook Air;"11.6""";4GB;256GB;Mac OS;Голубой
HP;15-bs023nv (i3-6006U/4GB/1TB/FHD/W10);"15.6""";4GB;1TB;Windows;Красный
HP;EliteBook 840;"14.0""";8GB;256GB;Windows;Серый
Dell;Vostro 3559;"15.6""";4GB;500GB;Windows;Голубой
MSI;GL62 6QF;"15.6""";8GB;128GB;Windows;Желтый
Lenovo;ThinkPad 13;"13.3""";16GB;512GB;Windows;Желтый
Lenovo;IdeaPad 320-15ABR;"15.6""";6GB;256GB;Windows;Черный
Asus;ZenBook UX310UA-WB71;"13.3""";8GB;256GB;Windows;Черный
Acer;Aspire ES1-572;"15.6""";4GB;500GB;Linux;Красный
Dell;Inspiron 7779;"17.3""";16GB;512GB;Windows;Синий
HP;EliteBook 840;"14.0""";4GB;256GB;Windows;Черный
Asus;Rog GL553VE-FY052T;"15.6""";16GB;256GB;Windows;Серый
Dell;Latitude 5480;"14.0""";4GB;500GB;Windows;Голубой
Asus;Rog GL502VS;"15.6""";16GB;256GB;Windows;Серый
Lenovo;V510-15IKB (i5-7200U/8GB/256GB/FHD/No;"15.6""";8GB;256GB;No OS;Белый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Синий
Dell;Inspiron 3552;"15.6""";4GB;500GB;Linux;Синий
HP;255 G6;"15.6""";4GB;500GB;Windows;Белый
Lenovo;IdeaPad 310-15ISK;"15.6""";6GB;128GB;Windows;Красный
Lenovo;ThinkPad L460;"14.0""";8GB;256GB;Windows;Голубой
Dell;Inspiron 3552;"15.6""";4GB;500GB;Windows;Серый
Asus;X541NA-GO020T (N3350/4GB/1TB/W10);"15.6""";4GB;1TB;Windows;Черный
Asus;Rog G752VT-GC073T;"17.3""";16GB;128GB;Windows;Желтый
Dell;Vostro 3568;"15.6""";4GB;500GB;Windows;Серый
Lenovo;B51-80 (i7-6500U/8GB/1008GB/Radeon;"15.6""";8GB;1TB;Windows;Синий
MSI;GE62 Apache;"15.6""";8GB;128GB;Windows;Серый
Lenovo;Yoga 500-14IBD;"14.0""";4GB;128GB;Windows;Серебристый
Asus;ZenBook UX305CA-UBM1;"13.3""";8GB;512GB;Windows;Черный
Dell;Inspiron 3567;"15.6""";6GB;1TB;Windows;Красный
Acer;Aspire ES1-531;"15.6""";4GB;500GB;Linux;Белый
Dell;Inspiron 3552;"15.6""";2GB;500GB;Windows;Красный
Lenovo;IdeaPad Y700-15ISK;"15.6""";8GB;1TB;Windows;Желтый
HP;Pavilion 15-AW003nv;"15.6""";6GB;1TB;Windows;Красный
Dell;Inspiron 3567;"15.6""";8GB;1TB;Linux;Синий
HP;Stream 11-Y000na;"11.6""";2GB;32GB;Windows;Черный
Asus;X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce;"15.6""";4GB;500GB;Windows;Белый
Lenovo;Yoga 500-14ISK;"14.0""";4GB;128GB;Windows;Синий
Lenovo;Yoga 900-13ISK;"13.3""";16GB;512GB;Windows;Голубой
Lenovo;IdeaPad 100S-14IBR;"14.0""";2GB;64GB;Windows;Черный
HP;15-AC110nv (i7-6500U/6GB/1TB/Radeon;"15.6""";6GB;1TB;Windows;Серый
Asus;X553SA-XX031T (N3050/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Серый
Asus;ZenBook UX305CA-UBM1;"13.3""";8GB;512GB;Windows;Серебристый
Dell;Inspiron 3567;"15.6""";6GB;1TB;Windows;Серебристый
Acer;Aspire ES1-531;"15.6""";4GB;500GB;Linux;Серый
Dell;Inspiron 3552;"15.6""";2GB;500GB;Windows;Белый
Lenovo;IdeaPad Y700-15ISK;"15.6""";8GB;1TB;Windows;Серый
HP;Pavilion 15-AW003nv;"15.6""";6GB;1TB;Windows;Голубой
Dell;Inspiron 3567;"15.6""";8GB;1TB;Linux;Желтый
HP;Stream 11-Y000na;"11.6""";2GB;32GB;Windows;Черный
Asus;X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce;"15.6""";4GB;500GB;Windows;Синий
Lenovo;Yoga 500-14ISK;"14.0""";4GB;128GB;Windows;Голубой
Lenovo;Yoga 900-13ISK;"13.3""";16GB;512GB;Windows;Синий
Lenovo;IdeaPad 100S-14IBR;"14.0""";2GB;64GB;Windows;Голубой
HP;15-AC110nv (i7-6500U/6GB/1TB/Radeon;"15.6""";6GB;1TB;Windows;Синий
Asus;X553SA-XX031T (N3050/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Красный
Asus;ZenBook UX305CA-UBM1;"13.3""";8GB;512GB;Windows;Желтый
Dell;Inspiron 3567;"15.6""";6GB;1TB;Windows;Черный
Acer;Aspire ES1-531;"15.6""";4GB;500GB;Linux;Серый
Dell;Inspiron 3552;"15.6""";2GB;500GB;Windows;Желтый
Lenovo;IdeaPad Y700-15ISK;"15.6""";8GB;1TB;Windows;Черный
HP;Pavilion 15-AW003nv;"15.6""";6GB;1TB;Windows;Красный
Dell;Inspiron 3567;"15.6""";8GB;1TB;Linux;Желтый
HP;Stream 11-Y000na;"11.6""";2GB;32GB;Windows;Серый
Asus;X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce;"15.6""";4GB;500GB;Windows;Белый
Lenovo;Yoga 500-14ISK;"14.0""";4GB;128GB;Windows;Желтый
Lenovo;Yoga 900-13ISK;"13.3""";16GB;512GB;Windows;Черный
Lenovo;IdeaPad 100S-14IBR;"14.0""";2GB;64GB;Windows;Серебристый
HP;15-AC110nv (i7-6500U/6GB/1TB/Radeon;"15.6""";6GB;1TB;Windows;Голубой
Asus;X553SA-XX031T (N3050/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Голубой
